,xclip,"allows for copying and pasting from the command line"
,fzf,"is a fuzzy finder tool used for easy selection and location of files"
,ueberzug,"enables previews in the lf file manager"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions"
,4coder,"Allen Webster's editor from handmade.network and Casey Muratori"
,libvirt,""
,qemu,""
,virt-manager,""
,ctags,"part of future IDE for navigating across the code"
,rsync,""
,rxvt-unicode,"cooler than st I think"
,ffmpeg,""
,ImageMagick,""
,pandoc,"converting documents in haskell. troff --> markdown"
,mpd+ncmpcpp,"music"
,mpv,"video viewer. There's ImPlay"
,zeal,"Offline documentation for programming"
,conky,"system monitor with scripts"
,vis,"vi + sed editor"
,acme,"GUI editor with structural regex and mouse use"
,micro,"text editor in Go"
,libreoffice,""
,ledger,"plain text accounting"
,taskwarrior,"CLI GTD app"
,recutils,"plain-text database"
,zotero,"Bibliography. ex-usage"
,kb,"terminal-based knowledge manager"
,dnote,"CLI notebook for programmers"
,calcurse,"CLI calendar"
,taskell,"CLI kanban"
,gitea,"SERVER ci/cd"
,cgit,"SERVER git frondend"
,blender,"video editing + // TODO: Blender conference"
,beets,"music organizer"
